transaction_id,client_id,merchant_id,merchant_category,merchant_country,amount,currency,timestamp,hour_of_day,day_of_week,is_online,is_international,is_fraud,fraud_type
83bbceb9-b93a-4250-aad2-50fa8b462e06,9ed1bf8f-44be-4df2-ad5d-abfb99e467bc,ec4ac7ce-46fb-496c-a461-a71a7b5538ed,supermarche,FR,120.97,EUR,2025-12-20 13:05:32.178291,13,5,False,False,0,
e7301efc-a318-4054-93d5-3b8e5fa5b7f4,cdcf28af-525f-41eb-8a13-e4981be1acea,ad6970bd-1a13-4f09-955b-2bafff031cfe,restaurant,FR,53.49,EUR,2025-12-20 16:56:41.778291,16,5,False,False,0,
cd3a35e6-4ed8-48e6-b543-ecbbc3049fe8,de38f404-b72d-42bd-a53d-10323f9ae93d,23eaee53-0256-4fcb-9a92-3b68d0e0cbc4,supermarche,FR,67.39,EUR,2025-12-20 07:12:10.378291,7,5,False,False,0,
16537282-3fdc-45a4-93f8-250c78ed8df8,937e9e5f-d1a2-4837-b8ed-9ce603b89b97,1925d744-7b23-45a6-bfde-2e1b64030f07,supermarche,FR,39.12,EUR,2025-12-20 11:43:08.978291,11,5,True,False,0,
e6ca13ca-a011-491b-8579-c8cefeeb4433,5f613ed4-a135-45f3-b863-07d48aec9910,054924b8-f118-4ba4-8b44-f4015877ba96,supermarche,FR,92.93,EUR,2025-12-20 14:38:09.578291,14,5,False,False,0,
228cd82c-206d-4be0-912a-d4c8eaa838da,d635941f-7fcb-425a-a407-d2f8ea318394,f2f69b41-2df4-4f1c-91e8-63186704e93b,carburant,FR,89.84,EUR,2025-12-20 15:10:19.178291,15,5,False,False,0,
5c9b8520-36c1-4589-a61e-019f98189ecd,8151c952-424f-48e8-b1dc-5794225e50aa,047024c7-d2e9-44e6-822c-e3af28dc6b2e,carburant,FR,102.38,EUR,2025-12-20 18:07:54.778291,18,5,True,False,0,
8ab42be9-aba5-4765-846b-0fef77fd58ba,4d0d9d71-029c-40f3-8f5a-0a78d6946ace,054924b8-f118-4ba4-8b44-f4015877ba96,supermarche,FR,90.41,EUR,2025-12-20 09:22:20.378291,9,5,True,False,0,
920c9d98-6152-4e3b-b3af-db91faad69b2,9e500cf5-cca4-4aae-a3eb-46a065976e9a,678831f6-c29d-445f-9a18-a25e7b78fbe1,supermarche,FR,106.98,EUR,2025-12-20 11:42:19.978291,11,5,False,False,0,
d1e34da0-0d15-467e-a259-d2bfa831bad9,8bf551e4-eae0-4ac0-aba4-c291f859bb62,2f5c25e0-64e3-4821-8982-90923d23fc3c,electronique,FR,242.95,EUR,2025-12-20 12:06:05.578291,12,5,False,False,0,
